ID,Typ,Artikelnummer,"GTIN, UPC, EAN oder ISBN",Name,Veröffentlicht,"Ist hervorgehoben?","Sichtbarkeit im Katalog",Kurzbeschreibung,Beschreibung,"Datum, an dem Angebotspreis beginnt","Datum, an dem Angebotspreis endet",Steuerstatus,Steuerklasse,Vorrätig?,Lager,"Geringe Lagermenge","Lieferrückstande erlaubt?","Nur einzeln verkaufen?","Gewicht (kg)","Länge (cm)","Breite (cm)","Höhe (cm)","Kundenbewertungen erlauben?","Hinweis zum Kauf",Angebotspreis,"Regulärer Preis",Kategorien,Schlagwörter,Versandklasse,Bilder,Downloadlimit,"Ablauftage des Downloads","Übergeordnetes Produkt","Gruppierte Produkte",Zusatzverkäufe,"Cross-Sells (Querverkäufe)","Externe URL",Button-Text,Position,Marken,"Attribut 1 Name","Attribut 1 Wert(e)","Attribut 1 Sichtbar","Attribut 1 Global","Attribut 2 Name","Attribut 2 Wert(e)","Attribut 2 Sichtbar","Attribut 2 Global","Attribut 3 Name","Attribut 3 Wert(e)","Attribut 3 Sichtbar","Attribut 3 Global","Attribut 4 Name","Attribut 4 Wert(e)","Attribut 4 Sichtbar","Attribut 4 Global","Attribut 5 Name","Attribut 5 Wert(e)","Attribut 5 Sichtbar","Attribut 5 Global","Meta: _wp_page_template","Meta: _aioseo_keywords","Meta: _aioseo_og_article_section","Meta: _aioseo_og_article_tags","Meta: _monsterinsights_skip_tracking","Meta: _monsterinsights_sitenote_active","Meta: _uf_disable_surveys","Attribut 6 Name","Attribut 6 Wert(e)","Attribut 6 Sichtbar","Attribut 6 Global"
914,simple,74397,,"Replika Testosterone Enanthate 250",1,0,visible,"Testosteron Enanthat 250 von Aburaihan enthält 250 mg Testosteron Enanthat, ein langwirksames anaboles Steroid, das das Muskelwachstum, die Kraftsteigerung und die Regeneration fördert.","Testosteron Enanthat 250 von Aburaihan enthält 250 mg Testosteron Enanthat, ein weit verbreitetes anaboles Steroid, das für seine Wirksamkeit bei der Förderung von signifikantem Muskelwachstum und der Steigerung der Gesamtstärke bekannt ist. Dieser langwirksame Ester sorgt für stabile Testosteronspiegel im Blut, wodurch über die Zeit konstante anabole Effekte erzielt werden. Ideal für Bodybuilder und Athleten unterstützt Testosteron Enanthat die erhöhte Proteinsynthese und Stickstoffretention, was zu einer verbesserten Muskelmasse und schnelleren Erholung nach intensiven Workouts führt. Mit seinen zuverlässigen Ergebnissen ist Testosteron Enanthat 250 eine bevorzugte Wahl für diejenigen, die ihre Leistung optimieren und ihre Fitnessziele effizient erreichen möchten.",,,taxable,,0,,,0,0,,,,,1,,,21,"Steroide > Aburaihan, Injektionen, Testosteron",,"EU Versand",https://stero.biz/wp-content/uploads/2025/03/Aburaihan-Testosterone-Enanthate-250.webp,,,,,74397,74397,,,0,,Hersteller,Aburaihan,1,1,Trägerstoff,"Oil Base",1,1,Wirkstoff,"Testosteron Enanthat",1,1,Dosis,250mg/ml,1,1,Packungsgröße,"10 Ampullen à 1ml",1,1,,,,,,,,,,,
915,simple,74396,,"Replika Testosterone Propionate",1,1,visible,"Testosteron Propionat 100 von Aburaihan enthält 100 mg Testosteron Propionat, ein schnell wirkendes anaboles Steroid, das die Muskelmasse und Stärke steigert.","Testosteron Propionat 100 von Aburaihan enthält 100 mg Testosteron Propionat, ein potentes anaboles Steroid, das für seine schnelle Wirkung und Effektivität beim Aufbau von Muskelmasse und Stärke bekannt ist. Dieser kurzwirksame Ester ermöglicht schnelle Anpassungen der Dosierung und des Timings, was ihn ideal für Athleten und Bodybuilder während der Cutting- oder Bulking-Zyklen macht. Durch die Förderung einer erhöhten Proteinsynthese und Stickstoffretention unterstützt Testosteron Propionat signifikantes Muskelwachstum und hilft bei der Erholung nach anstrengenden Workouts. Anwender können eine verbesserte Stärke, eine verstärkte Muskeldurchzeichnung und ein definierteres Erscheinungsbild erwarten. Mit Testosteron Propionat 100 kannst du deine Körperziele effizienter und effektiver erreichen.",,,taxable,,0,,,0,0,,,,,1,,20,25,"Steroide > Aburaihan, Injektionen, Testosteron",,"EU Versand",https://stero.biz/wp-content/uploads/2025/03/Aburaihan-Testosterone-Enanthate-250.webp,,,,,75456,75422,,,0,,Hersteller,Aburaihan,1,1,Trägerstoff,"Oil Base",1,1,Wirkstoff,"Testosteron Propionat",1,1,Dosis,100mg/ml,1,1,Packungsgröße,"10 Ampullen à 1ml",1,1,default,,,,0,0,,,,,
916,simple,75456,,"Testomed Cypio 200",1,1,visible,"Testomed Cypio 200 von Medi Pharma enthält 200 mg Testosteron Cypionat, ein kraftvolles anabolisches Steroid, das signifikanten Muskelaufbau, Kraft und Regeneration fördert, und somit ein unverzichtbares Präparat für ernsthafte Bodybuilder ist.","Testomed Cypio 200 von Medi Pharma enthält 200 mg Testosteron-Cypionat, ein hochwirksames anaboles Steroid, das für seine Fähigkeit bekannt ist, das Muskelwachstum zu stimulieren und die sportliche Leistung zu steigern. Dieser langwirkende Testosteronster sorgt für eine gleichmäßige Freisetzung von Testosteron in den Blutkreislauf und fördert signifikante Zuwächse an Muskelmasse, Stärke und allgemeiner körperlicher Leistung. Nutzer können eine verbesserte Erholungszeit erwarten, was intensivere Trainingseinheiten und reduzierte Ermüdung ermöglicht. Darüber hinaus unterstützt Testosteron-Cypionat eine erhöhte Stickstoffretention, die für Muskelwachstum und Ausdauer unerlässlich ist. Ob du in einer Bulking-Phase bist oder deine allgemeine Leistung verbessern möchtest, Testomed Cypio 200 ist eine wesentliche Ergänzung deines Bodybuilding-Arsenals, die dir hilft, deine Fitnessziele mit Selbstvertrauen zu erreichen.",,,taxable,,1,,,0,0,,,,,1,,,32,"Injektionen, Steroide > Medi Pharma, Testosteron",,"EU Versand","https://stero.biz/wp-content/uploads/2025/03/Medipharma-Testomed-Cypio-200mg.webp, https://stero.biz/wp-content/uploads/2025/03/TestomedCypio200.197.webp",,,,,75412,74556,,,0,,Hersteller,"Medi Pharma",1,1,Wirkstoff,"Testosteron Cypionat",1,1,Dosis,200mg/ml,1,1,Packungsgröße,"1 Fläschchen à 10ml",1,1,Trägerstoff,"Oil Base",1,1,default,,,,0,0,,,,,
917,simple,75422,,GHRP-6,1,0,visible,"GHRP-6 von Medi Pharma enthält 10 mg Growth Hormone Releasing Peptide-6, ein kraftvolles Peptid, das die Freisetzung von Wachstumshormonen stimuliert und somit Muskelwachstum, Fettabbau und verbesserte Regeneration fördert.","GHRP-6 von Medi Pharma enthält 10 mg Growth Hormone Releasing Peptide-6, ein synthetisches Peptid, das die Hypophyse anregt, Wachstumshormon freizusetzen. Diese Verbindung wird in der Bodybuilding-Community hochgeschätzt, da sie Muskelwachstum fördert, die Erholungszeiten verbessert und beim Fettabbau hilft. Durch die Erhöhung der Wachstumshormonspiegel verbessert GHRP-6 die Proteinsynthese und Stickstoffretention, was zu einer verbesserten Muskelentwicklung und Leistung führt. Anwender können auch eine bessere Schlafqualität, gesteigerte Energielevels und reduzierte Muskelverspannungen nach intensiven Trainingseinheiten erleben. GHRP-6 ist eine unverzichtbare Ergänzung für jedes Athletenprogramm und hilft, die Trainingsergebnisse zu optimieren und Fitnessziele effektiv zu erreichen.",,,taxable,,1,,,0,0,,,,,1,,,35,"GHRP-6, Steroide > Medi Pharma, Peptide",,"EU Versand","https://stero.biz/wp-content/uploads/2025/03/Medipharma-GHRP-6-10mg.webp, https://stero.biz/wp-content/uploads/2025/03/GHRP6-MEDI-peptides-labtest.webp",,,,,,74404,,,0,,Hersteller,"Medi Pharma",1,1,Wirkstoff,GHRP-6,1,1,Dosis,10mg/Vial,1,1,Packungsgröße,"1 Fläschchen à 10mg",1,1,,,,,default,,,,0,0,,,,,
918,simple,75412,,Primobolan,1,0,visible,"Primobolan von Spartan Pharma enthält 150 mg Methenolon Enanthat, ein mildes anaboles Steroid, das für die Förderung von magerem Muskelaufbau und die Verbesserung der Gesamtfigur bekannt ist, ohne signifikante Nebenwirkungen.","Primobolan von Spartan Pharma enthält 150 mg Methenolon Enanthate, ein anerkanntes anaboles Steroid, das für seine Fähigkeit bekannt ist, mageres Muskelwachstum zu fördern und die Körperzusammensetzung zu verbessern. Diese Verbindung ist besonders beliebt während Cutting-Zyklen, da sie hilft, Muskelmasse zu erhalten und gleichzeitig Fett abzubauen. Anwender können mit einer gesteigerten Proteinsynthese, verbesserter Stickstoffretention und minimaler Wassereinlagerung rechnen, was es ideal für einen trockenen, definierten Look macht. Primobolan ist für sein geringes Risiko an Nebenwirkungen bekannt, sodass es von Athleten über längere Zeiträume hinweg verwendet werden kann. Ob du nun deine Physis verfeinern oder deine Erfolge während einer Kalorienreduktion aufrechterhalten möchtest, Primobolan ist eine wertvolle Ergänzung für jedes Bodybuilding-Regiment.",,,taxable,,0,,,0,0,,,,,1,,,17,"Injektionen, Steroide > Primobolan, Steroide > Spartan Pharma",,"EU Versand",https://stero.biz/wp-content/uploads/2025/03/Spartanpharma-Primobolan-1.webp,,,,,74396,74405,,,0,,Hersteller,"Spartan Pharma",1,1,Trägerstoff,"Benzyl Alcohol, Ethyl Oleate",1,1,Wirkstoff,Primobolan,1,1,Dosis,150mg/ml,1,1,Packungsgröße,"1 Fläschchen à 10ml",1,1,default,,,,0,0,,,,,
919,simple,74556,,"Trenbolone Hexa",1,0,visible,"Trenbolon Hexahydrobenzylcarbonat von Spartan Pharma enthält 150 mg Trenbolon Hexa, ein potentes anaboles Steroid, das signifikantes Muskelwachstum, Stärkegewinne und Fettabbau fördert.","Trenbolon Hexahydrobenzylcarbonat von Spartan Pharma enthält 150 mg Trenbolon Hexa, eine kraftvolle anabolische Verbindung, die wegen ihrer Fähigkeit, beeindruckende Muskelzuwächse zu fördern und die sportliche Leistung zu steigern, hoch geschätzt wird. Dieser lang wirkende Steroid sorgt für nachhaltige Effekte und ist daher ideal für Bulking-Zyklen. Anwender können mit einer erhöhten Proteinsynthese und Stickstoffretention rechnen, was zu bemerkenswerten Verbesserungen in Muskelmasse und Stärke führt. Zudem unterstützt Trenbolon Hexa den Fettabbau bei gleichzeitiger Erhaltung der mageren Muskulatur, was zu einer schlankeren und besser definierten Körperform führt. Mit seinen schnell wirkenden Ergebnissen und minimaler Wasserretention ist Trenbolon Hexa eine Top-Wahl für ernsthafte Bodybuilder, die ihre Zuwächse maximieren und ihre Gesamtleistung verbessern möchten.",,,taxable,,0,,,0,0,,,,,1,,,17,"Injektionen, Steroide > Spartan Pharma, Trenbolon",,"EU Versand",https://stero.biz/wp-content/uploads/2025/03/Spartanpharma-Trenbolone-Hexa-1.webp,,,,,42557,71445,,,0,,Hersteller,"Spartan Pharma",1,1,Trägerstoff,"Benzyl Alcohol, Ethyl Oleate",1,1,Wirkstoff,"Trenbolon Hexahydrobenzyl-Carbonat",1,1,Dosis,150mg/ml,1,1,Packungsgröße,"1 Fläschchen à 10ml",1,1,default,,,,0,0,,,,,
920,simple,74404,,Maxibal,1,1,visible,"Maxibal von Global Pharma kombiniert 250 mg Testosteron Enanthat und 200 mg Nandrolon Decanoat für überragendes Muskelwachstum, Stärke und Regeneration, ideal für Bodybuilder, die massive Fortschritte erzielen wollen.","Maxibal von Global Pharma ist eine leistungsstarke anabole Mischung, die maximale Ergebnisse liefert. Mit 250 mg Testosteron Enanthat und 200 mg Nandrolon Decanoat pro Dosis bietet diese Kombination ein außergewöhnliches Gleichgewicht aus Muskelwachstum, Kraftsteigerung und Erholung. Testosteron Enanthat sorgt für eine stetige Freisetzung von Testosteron, was zu signifikanten Zuwächsen an Muskelmasse und Ausdauer führt, während Nandrolon Decanoat eine schnellere Erholung und Gelenkgesundheit fördert, wodurch intensivere, verletzungsfreie Trainingseinheiten möglich werden. Maxibal ist ideal für Bodybuilder, die effektiv Masse aufbauen und gleichzeitig magere Muskelmasse erhalten möchten. Ob du dich in einer Bulking- oder Kraftaufbauphase befindest, Maxibal von Global Pharma ist darauf ausgelegt, dir zu helfen, deine Fitnessziele mühelos zu erreichen.",,,taxable,,1,,,0,0,,,,,1,,,45,"Steroide > Global Pharma, Injektionen, Nandrolon, Testosteron",,"EU Versand",https://stero.biz/wp-content/uploads/2025/03/Globalpharma-Maxibal-1.webp,,,,,71000,71458,,,0,,Hersteller,"Global Pharma",1,1,Trägerstoff,"Benzyl Alcohol, Benzyl Benzoate, Ethyl Oleate",1,1,Wirkstoffe,"Nandrolon Decanoat, Testosteron Enanthat",1,1,Dosis,"Nandrolon Decanoat 200mg/ml, Testosteron Enanthat 250mg/ml",1,1,Packungsgröße,"10 Ampullen à 1ml",1,1,default,,,,0,0,,,,,
921,simple,74398,,"Replika Testoviron Depot",1,0,visible,"Testoviron Depot von Bayer enthält 250 mg Testosteron Enanthat, ein langwirksames anaboles Steroid, das das Muskelwachstum fördert und die Leistung steigert.","Testoviron Depot von Bayer enthält 250 mg Testosteron Enanthat, ein weithin anerkanntes anaboles Steroid, das für seine Fähigkeit bekannt ist, signifikante Muskelzuwächse zu fördern und die Gesamtstärke zu verbessern. Dieser langwirksame Ester sorgt für stabile Testosteronspiegel im Blut, was nachhaltige anabole Effekte ermöglicht und die Häufigkeit der Injektionen verringert. Testoviron Depot ist besonders vorteilhaft für Bodybuilder und Athleten, die an Muskelmasse zulegen möchten, da es die Proteinsynthese und Stickstoffretention steigert und die Muskelregeneration sowie das Wachstum fördert. Anwender können signifikante Zuwächse in Größe, Stärke und verbesserte Trainingsleistungen erwarten. Mit Testoviron Depot kannst du deine Trainingsergebnisse effektiv steigern und deinen gewünschten Körperbau erreichen.",,,taxable,,0,,,0,0,,,,,1,,20,25,"Steroide > Bayer, Injektionen, Testosteron",,"EU Versand",https://stero.biz/wp-content/uploads/2025/03/Bayer-Testoviron-Depot.webp,,,,,74446,45766,,,0,,Hersteller,Bayer,1,1,Trägerstoff,"Benzyl Benzoate, Oil Base",1,1,Wirkstoff,"Testosteron Enanthat",1,1,Dosis,250mg/ml,1,1,Packungsgröße,"3 Ampullen à 1ml",1,1,,,,,,,,,,,
922,simple,74446,,Testobal-P,1,0,visible,"Testobal-P von Global Pharma enthält 100 mg Testosteron Propionat, ein schnell wirkendes anaboles Steroid, das schnellen Muskelaufbau, gesteigerte Stärke und verbesserte Regeneration fördert, ideal für sowohl Bulking- als auch Cutting-Zyklen.","Testobal-P von Global Pharma enthält 100 mg Testosteron Propionat, ein hochwirksames und schnell wirkendes anaboles Steroid, das für seine starke Fähigkeit bekannt ist, das Muskelwachstum und die sportliche Leistung zu steigern. Mit seiner Schnellfreisetzungsformel ermöglicht Testobal-P Bodybuildern, signifikante Zuwächse an Stärke und Muskelmasse in kurzer Zeit zu erleben. Diese Verbindung verbessert auch die Stickstoffretention und erhöht die Produktion roter Blutkörperchen, was zu verbesserter Ausdauer und schnelleren Erholungszeiten nach intensiven Trainingseinheiten führt. Ideal für sowohl Bulking- als auch Cutting-Phasen hilft Testosteron Propionat, mageres Muskelgewebe zu erhalten und gleichzeitig Fett zu verlieren, was es zu einer vielseitigen Option für Athleten macht. Ob du dich auf einen Wettkampf vorbereitest oder einfach deine Trainingsergebnisse steigern möchtest, Testobal-P von Global Pharma bietet die leistungssteigernden Vorteile, die du benötigst, um deine Fitnessziele zu erreichen.",,,taxable,,1,,,0,0,,,,,1,,,25,"Steroide > Global Pharma, Injektionen, Testosteron",,"EU Versand","https://stero.biz/wp-content/uploads/2025/03/Globalpharma-Testobal-P-1.webp, https://stero.biz/wp-content/uploads/2025/03/LABTEST_TESTOBAL-P.webp",,,,,74401,45237,,,0,,Hersteller,"Global Pharma",1,1,Trägerstoff,"Benzyl Alcohol, Benzyl Benzoate, Ethyl Oleate",1,1,Wirkstoff,"Testosteron Propionat",1,1,Dosis,100mg/ml,1,1,Packungsgröße,"10 Ampullen à 1ml",1,1,default,,,,0,0,,,,,
923,simple,45766,,"Sleepmed 25",1,1,visible,"Sleepmed 25 von Medi Pharma enthält 20 mg Hydroxyzin und 5 mg Melatonin, die darauf ausgelegt sind, Entspannung zu fördern und die Schlafqualität zu verbessern. Es ist ideal für diejenigen, die erholsame Nächte suchen.","Sleepmed 25 von Medi Pharma enthält eine Kombination aus 20 mg Hydroxyzin und 5 mg Melatonin, zwei wirksame Inhaltsstoffe, die zusammen die Schlafqualität verbessern. Hydroxyzin ist ein Antihistaminikum, das für seine beruhigende Wirkung bekannt ist und hilft, Angst abzubauen und Entspannung zu fördern. Melatonin, ein natürliches Hormon, reguliert den Schlaf-Wach-Rhythmus und erleichtert das Einschlafen und Durchschlafen. Diese Kombination ist besonders vorteilhaft für Menschen, die unter Schlaflosigkeit oder Schlafstörungen leiden. Mit Sleepmed 25 kannst du eine erholsame Nachtruhe genießen, dein allgemeines Wohlbefinden steigern und erfrischt sowie revitalisiert aufwachen.",,,taxable,,1,,,0,0,,,,,1,,,25,"Steroide > Hydroxyzin, Steroide > Medi Pharma, Steroide > Melatonin, Tabletten",,"EU Versand","https://stero.biz/wp-content/uploads/2025/03/Medipharma-Sleepmed-25mg.webp, https://stero.biz/wp-content/uploads/2025/03/sleepmed-LABTEST.webp",,,,,75278,74401,,,0,,Hersteller,"Medi Pharma",1,1,Wirkstoffe,"Hydroxyzin, Melatonin",1,1,Dosis,"Hydroxyzin 20mg/tab, Melatonin 5mg/tab",1,1,Packungsgröße,"30 Tabletten à 25mg",1,1,Trägerstoff,Excipients,1,1,,,,,,,,,,,
